timestamp,ticksSince1970 (100ns),actionId,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z
31.87572,16394916166569730,4,0.2800282,1.050238,-0.1945665,359.5223,257.2196,359.991
31.87572,16394916166569730,5,0.2855632,1.247902,-0.1793328,358.0153,259.0291,357.638
31.87572,16394916166569730,6,0.2935108,1.148263,-0.17046,358.8703,281.4725,357.3956
31.88783,16394916166689407,0,0.7667986,1.218742,-0.1826057,2.758591,265.7589,2.401833
31.88783,16394916166689407,2,0.4704294,1.155427,-0.4076535,336.4697,267.7714,19.44795
31.88783,16394916166689407,3,0.3696578,1.254182,-0.1050212,331.4931,250.9429,350.9226
31.88783,16394916166689407,4,0.2799066,1.050176,-0.1946513,359.6703,257.2189,0.0251381
31.88783,16394916166689407,5,0.2845322,1.247933,-0.1815411,358.3929,259.07,358.2167
31.88783,16394916166689407,6,0.2929779,1.148413,-0.1715249,359.0022,281.512,357.9413
31.90016,16394916166809090,0,0.7669805,1.218984,-0.182193,2.645732,265.7281,2.312625
31.90016,16394916166809090,2,0.4706866,1.155832,-0.4066241,336.3268,267.946,19.37963
31.90016,16394916166809090,3,0.3711388,1.259173,-0.1067387,330.8985,250.8782,351.1202
31.91284,16394916166938739,0,0.7671759,1.219179,-0.1817829,2.537547,265.6998,2.247684
31.91284,16394916166938739,2,0.4708879,1.156234,-0.4058941,336.1898,268.0323,19.32661
31.91284,16394916166938739,3,0.3707792,1.262696,-0.1091021,331.054,251.0961,351.8454
31.91284,16394916166938739,4,0.2797836,1.050114,-0.1947286,359.8103,257.2184,0.0521026
31.91284,16394916166938739,5,0.2833246,1.247944,-0.1837238,358.8266,259.1034,358.7804
31.91284,16394916166938739,6,0.2923745,1.148555,-0.1725531,359.1702,281.54,358.4867
31.92542,16394916167058419,0,0.7674342,1.219324,-0.181342,2.452145,265.6877,2.197648
31.92542,16394916167058419,2,0.4709843,1.156542,-0.4052787,336.0822,268.0667,19.31951
31.92542,16394916167058419,3,0.3686186,1.264969,-0.1118547,331.9251,251.894,353.2029
31.93763,16394916167188076,0,0.7678607,1.219411,-0.1809158,2.393707,265.6988,2.125145
31.93763,16394916167188076,2,0.4709474,1.156771,-0.4048291,336.0032,268.045,19.38332
31.93763,16394916167188076,3,0.3653961,1.266655,-0.1146687,332.9527,253.2648,354.857
31.93763,16394916167188076,4,0.2796336,1.050057,-0.1948449,359.9452,257.1915,0.06763897
